Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,Director_Encoded
rebel moon - part two: the scargiver,0.2321428571428572,0.9907407407407408,PG-13,zack snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten",0.2804428044280443,"zack snyder, kurt johnstad, shay hatten","['zack snyder', 'kurt johnstad', 'shay hatten']","['zack snyder', 'kurt johnstad', 'shay hatten']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475
borderlands,0.5714285714285715,0.9907407407407408,R,eli roth,"Eli Roth, Joe Crombie",0.2594095940959409,"eli roth, joe crombie","['eli roth', 'joe crombie']","['eli roth', 'joe crombie']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
jurassic park,0.7678571428571429,0.7037037037037037,PG-13,steven spielberg,"Michael Crichton, David Koepp",0.2988929889298893,"michael crichton, david koepp","['michael crichton', 'david koepp']","['michael crichton', 'david koepp']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220
the fifth element,0.6607142857142858,0.7407407407407407,PG-13,luc besson,"Luc Besson, Robert Mark Kamen",0.2952029520295203,"luc besson, robert mark kamen","['luc besson', 'robert mark kamen']","['luc besson', 'robert mark kamen']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409
inside out,0.75,0.9074074074074074,PG,pete docter,"Pete Docter, Ronnie Del Carmen, Meg Le, Fauve",0.1808118081180811,"pete docter, ronnie del carmen, meg le, fauve","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816
descendants: the rise of red,0.5714285714285715,0.9907407407407408,TV-G,jennifer phang,"Rita Ora, Joshua Colley, China Anne Mc, Clain",0.2594095940959409,"rita ora, joshua colley, china anne mc, clain","['rita ora', 'joshua colley', 'china anne mc', 'clain']","['rita ora', 'joshua colley', 'china anne mc', 'clain']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045
wish,0.3035714285714286,0.9814814814814814,PG,chris buck,"Jennifer Lee, Allison Moore, Chris Buck",0.1808118081180811,"jennifer lee, allison moore, chris buck","['jennifer lee', 'allison moore', 'chris buck']","['jennifer lee', 'allison moore', 'chris buck']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
the hunger games,0.5892857142857144,0.8796296296296297,PG-13,gary ross,"Gary Ross, Suzanne Collins, Billy Ray",0.3542435424354244,"gary ross, suzanne collins, billy ray","['gary ross', 'suzanne collins', 'billy ray']","['gary ross', 'suzanne collins', 'billy ray']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752
rebel moon - part one: a child of fire,0.3035714285714286,0.9814814814814814,PG-13,zack snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten",0.3210332103321033,"zack snyder, kurt johnstad, shay hatten","['zack snyder', 'kurt johnstad', 'shay hatten']","['zack snyder', 'kurt johnstad', 'shay hatten']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475
wonka,0.5535714285714287,0.9814814814814814,PG,paul king,"Roald Dahl, Paul King, Simon Farnaby",0.2583025830258302,"roald dahl, paul king, simon farnaby","['roald dahl', 'paul king', 'simon farnaby']","['roald dahl', 'paul king', 'simon farnaby']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790
